samplename,nameid,function entity,property name,property type,function type,function description,full description,abstract,link
UNMC_VanderbiltU-YWangACSAMI2020-03,88932354,small molecule,ICG,NaN,imaging function,,NaN,"Combination therapies consisting of multiple short therapeutic RNAs, such as small interfering RNA (siRNA) and microRNA (miRNA), have enormous potential in cancer treatment as they can precisely silence a specific set of oncogenes and target multiple disease-related pathways. However, clinical use of siRNA/miRNA combinations is limited by the availability of safe and efficient systemic delivery systems with sufficient tumor penetrating and endosomal escaping capabilities. This study reports on the development of multifunctional tumor-penetrating mesoporous silica nanoparticles (iMSNs) for simultaneous delivery of siRNA (siPlk1) and miRNA (miR-200c), using encapsulation of a photosensitizer indocyanine green (ICG) to facilitate endosomal escape and surface conjugation of the iRGD peptide to enable deep tumor penetration. Increased cell uptake of the nanoparticles was observed in both 3D tumor spheroids in vitro and in orthotopic MDA-MB-231 breast tumors in vivo. Using a galectin-8 recruitment assay, we showed that reactive oxygen species generated by ICG upon light irradiation functioned as an endosomolytic stimulus that caused release of the siRNA/miRNA combination from endosomes. Co-delivery of the therapeutic RNAs displayed combined cell killing activity in cancer cells. Systemic intravenous treatment of metastatic breast cancer with the iMSNs loaded with siPlk1 and miR-200c resulted in a significant suppression of the primary tumor growth and in marked reduction of metastasis upon short light irradiation of the primary tumor. This work demonstrates that siRNA-miRNA combination assisted by the photodynamic effect and tumor penetrating delivery system may provide a promising approach for metastatic cancer treatment.",https://www.ncbi.nlm.nih.gov/pubmed/31939276
UNMC_VanderbiltU-YWangACSAMI2020-03,88932354,biopolymer,siPlk1,siRNA,targeting function,"silences polo-like kinase 1 (Plk1) overexpressed in various types of human tumors and suggested
to control cancer development and progression",NaN,"Combination therapies consisting of multiple short therapeutic RNAs, such as small interfering RNA (siRNA) and microRNA (miRNA), have enormous potential in cancer treatment as they can precisely silence a specific set of oncogenes and target multiple disease-related pathways. However, clinical use of siRNA/miRNA combinations is limited by the availability of safe and efficient systemic delivery systems with sufficient tumor penetrating and endosomal escaping capabilities. This study reports on the development of multifunctional tumor-penetrating mesoporous silica nanoparticles (iMSNs) for simultaneous delivery of siRNA (siPlk1) and miRNA (miR-200c), using encapsulation of a photosensitizer indocyanine green (ICG) to facilitate endosomal escape and surface conjugation of the iRGD peptide to enable deep tumor penetration. Increased cell uptake of the nanoparticles was observed in both 3D tumor spheroids in vitro and in orthotopic MDA-MB-231 breast tumors in vivo. Using a galectin-8 recruitment assay, we showed that reactive oxygen species generated by ICG upon light irradiation functioned as an endosomolytic stimulus that caused release of the siRNA/miRNA combination from endosomes. Co-delivery of the therapeutic RNAs displayed combined cell killing activity in cancer cells. Systemic intravenous treatment of metastatic breast cancer with the iMSNs loaded with siPlk1 and miR-200c resulted in a significant suppression of the primary tumor growth and in marked reduction of metastasis upon short light irradiation of the primary tumor. This work demonstrates that siRNA-miRNA combination assisted by the photodynamic effect and tumor penetrating delivery system may provide a promising approach for metastatic cancer treatment.",https://www.ncbi.nlm.nih.gov/pubmed/31939276
KNUT_KBBiomed-EJHyunIJPh2019-07,85622790,small molecule,NIR670,NaN,imaging function,,NaN,"Oral siRNA delivery is an ideal way to translate siRNA therapeutic effects in the clinic due to its ability to be administered in convenient and multiple dosages. However, an effective oral delivery system requires overcoming both a hostile gastrointestinal (GI) environment and non-specific targeting. Here, an HTsRP-NC system is a new oral siRNA delivery system consisting of a siRNA/protamine (sRP) nano-complex protected by a multi-functional hyaluronic acid-taurocholic acid (HA-TCA) conjugate. The HTsRP-NC promotes cell penetration and enhances endosomal escape in cancer cells. Moreover, protection of the sRP by HA-TCA from the hostile GI environment helps the AKT siRNA complex to reach the liver through the utilization of a TCA-mediated enterohepatic bile acid recycling system. AKT siRNA was released by 90% in presence of hyaluronidase in the tumor cells which indicate the potential use of HTsRP-NCs for siRNA delivery to treat tumor. After HA receptor (CD44)-mediated cellular uptake of the HTsRP-NC by the liver cancer cells, functional expression of AKT siRNA leads to the suppression of metastatic liver cancer growth in a colorectal liver metastasis (CLM) murine model. Tumor nodules were reduced by more than 1&amp;#8239;mm size compared to control group and tumor cells were suppressed by 50% after HTsRP-NCs treatment with AKT siRNA. Overall, oral administration of the HTsRP-NC supports its potential in therapeutic applications for the effective treatment of CLM.",https://www.ncbi.nlm.nih.gov/pubmed/30399434
KNUT_KBBiomed-EJHyunIJPh2019-06,85622789,small molecule,siRNA-AKT-FAM,NaN,targeting function,"silences expression of  AKT protein kinase which hyperactivation leads to cancer cell growth,
proliferation and development of metastatic cancer",NaN,"Oral siRNA delivery is an ideal way to translate siRNA therapeutic effects in the clinic due to its ability to be administered in convenient and multiple dosages. However, an effective oral delivery system requires overcoming both a hostile gastrointestinal (GI) environment and non-specific targeting. Here, an HTsRP-NC system is a new oral siRNA delivery system consisting of a siRNA/protamine (sRP) nano-complex protected by a multi-functional hyaluronic acid-taurocholic acid (HA-TCA) conjugate. The HTsRP-NC promotes cell penetration and enhances endosomal escape in cancer cells. Moreover, protection of the sRP by HA-TCA from the hostile GI environment helps the AKT siRNA complex to reach the liver through the utilization of a TCA-mediated enterohepatic bile acid recycling system. AKT siRNA was released by 90% in presence of hyaluronidase in the tumor cells which indicate the potential use of HTsRP-NCs for siRNA delivery to treat tumor. After HA receptor (CD44)-mediated cellular uptake of the HTsRP-NC by the liver cancer cells, functional expression of AKT siRNA leads to the suppression of metastatic liver cancer growth in a colorectal liver metastasis (CLM) murine model. Tumor nodules were reduced by more than 1&amp;#8239;mm size compared to control group and tumor cells were suppressed by 50% after HTsRP-NCs treatment with AKT siRNA. Overall, oral administration of the HTsRP-NC supports its potential in therapeutic applications for the effective treatment of CLM.",https://www.ncbi.nlm.nih.gov/pubmed/30399434
KNUT_KBBiomed-EJHyunIJPh2019-06,85622789,small molecule,siRNA-AKT-FAM,NaN,imaging function,,NaN,"Oral siRNA delivery is an ideal way to translate siRNA therapeutic effects in the clinic due to its ability to be administered in convenient and multiple dosages. However, an effective oral delivery system requires overcoming both a hostile gastrointestinal (GI) environment and non-specific targeting. Here, an HTsRP-NC system is a new oral siRNA delivery system consisting of a siRNA/protamine (sRP) nano-complex protected by a multi-functional hyaluronic acid-taurocholic acid (HA-TCA) conjugate. The HTsRP-NC promotes cell penetration and enhances endosomal escape in cancer cells. Moreover, protection of the sRP by HA-TCA from the hostile GI environment helps the AKT siRNA complex to reach the liver through the utilization of a TCA-mediated enterohepatic bile acid recycling system. AKT siRNA was released by 90% in presence of hyaluronidase in the tumor cells which indicate the potential use of HTsRP-NCs for siRNA delivery to treat tumor. After HA receptor (CD44)-mediated cellular uptake of the HTsRP-NC by the liver cancer cells, functional expression of AKT siRNA leads to the suppression of metastatic liver cancer growth in a colorectal liver metastasis (CLM) murine model. Tumor nodules were reduced by more than 1&amp;#8239;mm size compared to control group and tumor cells were suppressed by 50% after HTsRP-NCs treatment with AKT siRNA. Overall, oral administration of the HTsRP-NC supports its potential in therapeutic applications for the effective treatment of CLM.",https://www.ncbi.nlm.nih.gov/pubmed/30399434
KNUT_KBBiomed-EJHyunIJPh2019-05,85622788,small molecule,Rhodamine B,NaN,imaging function,,NaN,"Oral siRNA delivery is an ideal way to translate siRNA therapeutic effects in the clinic due to its ability to be administered in convenient and multiple dosages. However, an effective oral delivery system requires overcoming both a hostile gastrointestinal (GI) environment and non-specific targeting. Here, an HTsRP-NC system is a new oral siRNA delivery system consisting of a siRNA/protamine (sRP) nano-complex protected by a multi-functional hyaluronic acid-taurocholic acid (HA-TCA) conjugate. The HTsRP-NC promotes cell penetration and enhances endosomal escape in cancer cells. Moreover, protection of the sRP by HA-TCA from the hostile GI environment helps the AKT siRNA complex to reach the liver through the utilization of a TCA-mediated enterohepatic bile acid recycling system. AKT siRNA was released by 90% in presence of hyaluronidase in the tumor cells which indicate the potential use of HTsRP-NCs for siRNA delivery to treat tumor. After HA receptor (CD44)-mediated cellular uptake of the HTsRP-NC by the liver cancer cells, functional expression of AKT siRNA leads to the suppression of metastatic liver cancer growth in a colorectal liver metastasis (CLM) murine model. Tumor nodules were reduced by more than 1&amp;#8239;mm size compared to control group and tumor cells were suppressed by 50% after HTsRP-NCs treatment with AKT siRNA. Overall, oral administration of the HTsRP-NC supports its potential in therapeutic applications for the effective treatment of CLM.",https://www.ncbi.nlm.nih.gov/pubmed/30399434
NEU-LMendesDD2019-12,82083854,small molecule,Rhod-PE,NaN,imaging function,fluorescence 488 excitation wavelength,NaN,"Modification of nanoparticle surfaces with PEG has been widely considered the gold standard for many years. However, PEGylation presents controversial and serious challenges including lack of functionality, hindered cellular interaction, allergic reactions, and stimulation of IgM production after repetitive dosing that accelerates blood clearance of the nanoparticles. We report the development of novel liposomal formulations surface-modified with a low molecular weight, branched polyethyleneimine (bPEI)-lipid conjugate for use as an alternative to PEG. The formulations had very good stability characteristics in ion- and protein-rich mediums. Protein adsorption onto the liposomal surface did not interfere with the cellular interaction. bPEI-modified liposomes (PEIPOS) showed enhanced association with three different cell lines by up to 75 times compared to plain or PEGylated liposomes and were without carrier toxicity. They also penetrated the deeper layers of 3D spheroids. Encapsulating paclitaxel (PTX) into PEIPOS did not change its main mechanism of action. PEIPOS complexed and intracellularly delivered siRNAs and downregulated resistance-associated proteins. Finally, tumor growth inhibition was observed in a mouse ovarian xenograft tumor model, without signs of toxicity, in animals treated with the siRNA/PTX co-loaded formulation. These complex-in-nature but simple-in-design novel liposomal formulations constitute viable and promising alternatives with added functionality to their PEGylated counterparts.",https://www.ncbi.nlm.nih.gov/pubmed/30929529
NEU-LMendesDD2019-10,82083853,small molecule,Rhod-PE,NaN,imaging function,fluorescence 488 nm excitation wavelength,NaN,"Modification of nanoparticle surfaces with PEG has been widely considered the gold standard for many years. However, PEGylation presents controversial and serious challenges including lack of functionality, hindered cellular interaction, allergic reactions, and stimulation of IgM production after repetitive dosing that accelerates blood clearance of the nanoparticles. We report the development of novel liposomal formulations surface-modified with a low molecular weight, branched polyethyleneimine (bPEI)-lipid conjugate for use as an alternative to PEG. The formulations had very good stability characteristics in ion- and protein-rich mediums. Protein adsorption onto the liposomal surface did not interfere with the cellular interaction. bPEI-modified liposomes (PEIPOS) showed enhanced association with three different cell lines by up to 75 times compared to plain or PEGylated liposomes and were without carrier toxicity. They also penetrated the deeper layers of 3D spheroids. Encapsulating paclitaxel (PTX) into PEIPOS did not change its main mechanism of action. PEIPOS complexed and intracellularly delivered siRNAs and downregulated resistance-associated proteins. Finally, tumor growth inhibition was observed in a mouse ovarian xenograft tumor model, without signs of toxicity, in animals treated with the siRNA/PTX co-loaded formulation. These complex-in-nature but simple-in-design novel liposomal formulations constitute viable and promising alternatives with added functionality to their PEGylated counterparts.",https://www.ncbi.nlm.nih.gov/pubmed/30929529
NEU-LMendesDD2019-09,82083852,small molecule,Rhod-PE,NaN,imaging function,fluorescence 488 nm excitation wavelength,NaN,"Modification of nanoparticle surfaces with PEG has been widely considered the gold standard for many years. However, PEGylation presents controversial and serious challenges including lack of functionality, hindered cellular interaction, allergic reactions, and stimulation of IgM production after repetitive dosing that accelerates blood clearance of the nanoparticles. We report the development of novel liposomal formulations surface-modified with a low molecular weight, branched polyethyleneimine (bPEI)-lipid conjugate for use as an alternative to PEG. The formulations had very good stability characteristics in ion- and protein-rich mediums. Protein adsorption onto the liposomal surface did not interfere with the cellular interaction. bPEI-modified liposomes (PEIPOS) showed enhanced association with three different cell lines by up to 75 times compared to plain or PEGylated liposomes and were without carrier toxicity. They also penetrated the deeper layers of 3D spheroids. Encapsulating paclitaxel (PTX) into PEIPOS did not change its main mechanism of action. PEIPOS complexed and intracellularly delivered siRNAs and downregulated resistance-associated proteins. Finally, tumor growth inhibition was observed in a mouse ovarian xenograft tumor model, without signs of toxicity, in animals treated with the siRNA/PTX co-loaded formulation. These complex-in-nature but simple-in-design novel liposomal formulations constitute viable and promising alternatives with added functionality to their PEGylated counterparts.",https://www.ncbi.nlm.nih.gov/pubmed/30929529
NEU-LMendesDD2019-08,82083851,small molecule,Rhod-PE,NaN,imaging function,fluorescence .488 nm excitation wavelength,NaN,"Modification of nanoparticle surfaces with PEG has been widely considered the gold standard for many years. However, PEGylation presents controversial and serious challenges including lack of functionality, hindered cellular interaction, allergic reactions, and stimulation of IgM production after repetitive dosing that accelerates blood clearance of the nanoparticles. We report the development of novel liposomal formulations surface-modified with a low molecular weight, branched polyethyleneimine (bPEI)-lipid conjugate for use as an alternative to PEG. The formulations had very good stability characteristics in ion- and protein-rich mediums. Protein adsorption onto the liposomal surface did not interfere with the cellular interaction. bPEI-modified liposomes (PEIPOS) showed enhanced association with three different cell lines by up to 75 times compared to plain or PEGylated liposomes and were without carrier toxicity. They also penetrated the deeper layers of 3D spheroids. Encapsulating paclitaxel (PTX) into PEIPOS did not change its main mechanism of action. PEIPOS complexed and intracellularly delivered siRNAs and downregulated resistance-associated proteins. Finally, tumor growth inhibition was observed in a mouse ovarian xenograft tumor model, without signs of toxicity, in animals treated with the siRNA/PTX co-loaded formulation. These complex-in-nature but simple-in-design novel liposomal formulations constitute viable and promising alternatives with added functionality to their PEGylated counterparts.",https://www.ncbi.nlm.nih.gov/pubmed/30929529
USC_UV-JCrecente-CampoJCR2019-08,81330184,small molecule,DiD,NaN,imaging function,fluorescence far red,NaN,"Macrophages are pivotal cells of the innate immune system specialized in the phagocytosis of foreign elements. Nanoparticles intentionally designed to target macrophages and modulate their responses are of especial interest in the case of chronic inflammatory diseases, cancer and vaccine development. This work aimed to understand the role of size and shell composition of polymeric nanocapsules (NCs) in their interaction with macrophages, both in vitro and in vivo. A systematic study was performed using two different sizes of inulin and chitosan NCs, negatively and positively charged, respectively, small (~70 nm) and medium (170-250 nm). The in vitro results showed that small NCs interacted more efficiently with macrophages than their larger counterparts. Inulin NCs were significantly less toxic than chitosan NCs. Finally, following in vivo administration (intravenous/intramuscular) to zebrafish, small NCs, regardless of their composition, disseminated considerably faster and further than their medium size counterparts. These results emphasize how small changes in the nanometric range can lead to remarkably different interactions with the immune cells and the biodistribution profile.",http://dx.doi.org/10.1016/j.jconrel.2019.07.011
USC_UV-JCrecente-CampoJCR2019-07,81330183,small molecule,DiD,NaN,imaging function,fluorescence far red,NaN,"Macrophages are pivotal cells of the innate immune system specialized in the phagocytosis of foreign elements. Nanoparticles intentionally designed to target macrophages and modulate their responses are of especial interest in the case of chronic inflammatory diseases, cancer and vaccine development. This work aimed to understand the role of size and shell composition of polymeric nanocapsules (NCs) in their interaction with macrophages, both in vitro and in vivo. A systematic study was performed using two different sizes of inulin and chitosan NCs, negatively and positively charged, respectively, small (~70 nm) and medium (170-250 nm). The in vitro results showed that small NCs interacted more efficiently with macrophages than their larger counterparts. Inulin NCs were significantly less toxic than chitosan NCs. Finally, following in vivo administration (intravenous/intramuscular) to zebrafish, small NCs, regardless of their composition, disseminated considerably faster and further than their medium size counterparts. These results emphasize how small changes in the nanometric range can lead to remarkably different interactions with the immune cells and the biodistribution profile.",http://dx.doi.org/10.1016/j.jconrel.2019.07.011
USC_UV-JCrecente-CampoJCR2019-06,81330182,small molecule,DiD,NaN,imaging function,fluorescence far red,NaN,"Macrophages are pivotal cells of the innate immune system specialized in the phagocytosis of foreign elements. Nanoparticles intentionally designed to target macrophages and modulate their responses are of especial interest in the case of chronic inflammatory diseases, cancer and vaccine development. This work aimed to understand the role of size and shell composition of polymeric nanocapsules (NCs) in their interaction with macrophages, both in vitro and in vivo. A systematic study was performed using two different sizes of inulin and chitosan NCs, negatively and positively charged, respectively, small (~70 nm) and medium (170-250 nm). The in vitro results showed that small NCs interacted more efficiently with macrophages than their larger counterparts. Inulin NCs were significantly less toxic than chitosan NCs. Finally, following in vivo administration (intravenous/intramuscular) to zebrafish, small NCs, regardless of their composition, disseminated considerably faster and further than their medium size counterparts. These results emphasize how small changes in the nanometric range can lead to remarkably different interactions with the immune cells and the biodistribution profile.",http://dx.doi.org/10.1016/j.jconrel.2019.07.011
USC_UV-JCrecente-CampoJCR2019-05,81330181,small molecule,DiD,NaN,imaging function,fluorescence far red,NaN,"Macrophages are pivotal cells of the innate immune system specialized in the phagocytosis of foreign elements. Nanoparticles intentionally designed to target macrophages and modulate their responses are of especial interest in the case of chronic inflammatory diseases, cancer and vaccine development. This work aimed to understand the role of size and shell composition of polymeric nanocapsules (NCs) in their interaction with macrophages, both in vitro and in vivo. A systematic study was performed using two different sizes of inulin and chitosan NCs, negatively and positively charged, respectively, small (~70 nm) and medium (170-250 nm). The in vitro results showed that small NCs interacted more efficiently with macrophages than their larger counterparts. Inulin NCs were significantly less toxic than chitosan NCs. Finally, following in vivo administration (intravenous/intramuscular) to zebrafish, small NCs, regardless of their composition, disseminated considerably faster and further than their medium size counterparts. These results emphasize how small changes in the nanometric range can lead to remarkably different interactions with the immune cells and the biodistribution profile.",http://dx.doi.org/10.1016/j.jconrel.2019.07.011
NEU-NParayathCL2019-03,80838658,small molecule,Cy5,NaN,imaging function,fluorescence,NaN,"In epithelial ovarian cancers, the presence of tumor-associated macrophages (TAMs) is well correlated with the poor disease outcomes. TAMs are know to suppress the immune system, induce pro-tumoral functions and inhibit anti-tumor responses associated with chemotherapy. In this study, we have evaluated the synergistic efficacy of TAM repolarization and intraperitoneal paclitaxel in epithelial ovarian cancers. We demonstrate that hyaluronic acid-based nanoparticles encapsulating miR-125b (HA-PEI-miR-125b) can specifically target TAMs in the peritoneal cavity of a syngeneic ID8-VEGF ovarian cancer mouse model and can repolarize macrophages to an immune-activating phenotype. These HA-PEI-miR-125b nanoparticles in combination with intraperitoneal paclitaxel can enhance the anti-tumor efficacy of paclitaxel during the later stages of disease progression as seen by the significant reduction in the ascitic fluid and peritoneal VEGF levels. Furthermore, these HA-PEI-miR-125b nanoparticles do not induce systemic toxicity and thus warrant a further evaluation in the clinical setting.",https://www.ncbi.nlm.nih.gov/pubmed/31288064
UMMSM_UG_FIU-RPathakBMat2018-04,77365251,small molecule,aspirin,NaN,therapeutic function,anti-inflammation,NaN,"Multimodal therapies are used to treat advanced cancers including castration-resistant prostate cancer to manage the biological characteristics of the tumors like inflammation, bone metastases, and participation of metabolically altered cancer stem cells (CSCs) that have integral roles in disease dissemination and progression. We developed a multifunctional polymer-based self-assembled technology to deliver a predefined stoichiometric combination of a chemotherapy and an anti-inflammatory agent in a stimuli responsive manner, to complement and improve the currently established treatment methods of prostate cancer. We combined clinically applicable fractionated radiation therapy (XRT) to further sensitize the activity of this targeted multifunctional platform towards prostate-specific membrane antigen (PSMA) expressing advanced prostate cancer. After irradiation, our PSMA-targeted self-assembly system could modulate the mitochondrial metabolism, cellular respiration and the overall radiation-induced DNA damage process. We report the synthesis of this advanced multifunctional platform and describe its unique properties that allow the ability to load multiple FDA approved drugs with a predefined stoichiometric ratio for targeted co-delivery of chemotherapeutics and anti-inflammatory agents. The efficacy of this platform was demonstrated using several in vitro and in vivo studies, in a unique bilateral PSMA expressing prostate cancer tumor model, and in patient derived CSCs.",https://www.ncbi.nlm.nih.gov/pubmed/30336364
UMMSM_UG_FIU-RPathakBMat2018-03,77365250,small molecule,aspirin,NaN,therapeutic function,anti-inflammation,NaN,"Multimodal therapies are used to treat advanced cancers including castration-resistant prostate cancer to manage the biological characteristics of the tumors like inflammation, bone metastases, and participation of metabolically altered cancer stem cells (CSCs) that have integral roles in disease dissemination and progression. We developed a multifunctional polymer-based self-assembled technology to deliver a predefined stoichiometric combination of a chemotherapy and an anti-inflammatory agent in a stimuli responsive manner, to complement and improve the currently established treatment methods of prostate cancer. We combined clinically applicable fractionated radiation therapy (XRT) to further sensitize the activity of this targeted multifunctional platform towards prostate-specific membrane antigen (PSMA) expressing advanced prostate cancer. After irradiation, our PSMA-targeted self-assembly system could modulate the mitochondrial metabolism, cellular respiration and the overall radiation-induced DNA damage process. We report the synthesis of this advanced multifunctional platform and describe its unique properties that allow the ability to load multiple FDA approved drugs with a predefined stoichiometric ratio for targeted co-delivery of chemotherapeutics and anti-inflammatory agents. The efficacy of this platform was demonstrated using several in vitro and in vivo studies, in a unique bilateral PSMA expressing prostate cancer tumor model, and in patient derived CSCs.",https://www.ncbi.nlm.nih.gov/pubmed/30336364
NHIR-FITC-CNC-250NMx25NM-WL20170226-2,79462402,Fluorophore,FITC,NaN,imaging,,NaN,"This report outlines in detail the synthesis and characterization of Reference ENM CNC-250NMX25NM-WL20170303-1:T10 synthesized and added in the HSPH-NIEHS Reference ENM Repository established at Harvard T. H. Chan School of Public Health as part of the NIEHS Nanotechnology Health Implication Research Consortium. The report includes the synthesis methodology, physical, chemical and morphological properties of the reference ENM, sterility, colloidal characterization in water and test culture media (RPMI + 10 % FBS), and cellular dosimetry considerations. The detailed SOPs and QA/QC procedures for the synthesis and the characterization of the Reference ENM are also presented.",rest/publication/download?fileId=78479364
NHIR-CNC-700NMX25NM-EP20190205-1,82083841,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NHIR-CNC-140NMX20NM-EP20190205-1,82083840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WUSTL-NKotagiriNatComm2018-03,74055682,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
WUSTL-NKotagiriNatComm2018-01,74055680,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Michal_Test_Sample33,72089600,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
LuisaTest,71696390,Quantum Dot,CdSe,NaN,imaging function,,NaN,NaN,NaN
CGU_CGMH_CGUST_MCUT-YJLuNanomat2018-09,70877192,small molecule,DOX,NaN,therapeutic function,"intercalates between base pairs in the DNA helix, thereby preventing DNA replication and ultimately
inhibiting protein synthesis",NaN,"To develop a pH-sensitive dual targeting magnetic nanocarrier for chemo-phototherapy in cancer treatment, we prepared magnetic graphene oxide (MGO) by depositing Fe&amp;#8323;O&amp;#8324; magnetic nanoparticles on graphene oxide (GO) through chemical co-precipitation. MGO was modified with polyethylene glycol (PEG) and cetuximab (CET, an epidermal growth factor receptor (EGFR) monoclonal antibody) to obtain MGO-PEG-CET. Since EGFR was highly expressed on the tumor cell surface, MGO-PEG-CET was used for dual targeted delivery an anticancer drug doxorubicin (DOX). The physico-chemical properties of MGO-PEG-CET were fully characterized by dynamic light scattering, transmission electron microscopy, X-ray diffraction, Fourier transform Infrared spectroscopy, thermogravimetric analysis, and superconducting quantum interference device. Drug loading experiments revealed that DOX adsorption followed the Langmuir isotherm with a maximal drug loading capacity of 6.35 mg/mg, while DOX release was pH-dependent with more DOX released at pH 5.5 than pH 7.4. Using quantum-dots labeled nanocarriers and confocal microscopy, intracellular uptakes of MGO-PEG-CET by high EGFR-expressing CT-26 murine colorectal cells was confirmed to be more efficient than MGO. This cellular uptake could be inhibited by pre-incubation with CET, which confirmed the receptor-mediated endocytosis of MGO-PEG-CET. Magnetic targeted killing of CT-26 was demonstrated in vitro through magnetic guidance of MGO-PEG-CET/DOX, while the photothermal effect could be confirmed in vivo and in vitro after exposure of MGO-PEG-CET to near-infrared (NIR) laser light. In addition, the biocompatibility tests indicated MGO-PEG-CET showed no cytotoxicity toward fibroblasts and elicited minimum hemolysis. In vitro cytotoxicity tests showed the half maximal inhibitory concentration (IC50) value of MGO-PEG-CET/DOX toward CT-26 cells was 1.48 &amp;#181;g/mL, which was lower than that of MGO-PEG/DOX (2.64 &amp;#181;g/mL). The IC50 value could be further reduced to 1.17 &amp;#181;g/mL after combining with photothermal therapy by NIR laser light exposure. Using subcutaneously implanted CT-26 cells in BALB/c mice, in vivo anti-tumor studies indicated the relative tumor volumes at day 14 were 12.1 for control (normal saline), 10.1 for DOX, 9.5 for MGO-PEG-CET/DOX, 5.8 for MGO-PEG-CET/DOX + magnet, and 0.42 for MGO-PEG-CET/DOX + magnet + laser. Therefore, the dual targeting MGO-PEG-CET/DOX could be suggested as an effective drug delivery system for anticancer therapy, which showed a 29-fold increase in therapeutic efficacy compared with control by combining chemotherapy with photothermal therapy.",https://www.ncbi.nlm.nih.gov/pubmed/29584656
CGU_CGMH_CGUST_MCUT-YJLuNanomat2018-09,70877192,antibody,CET,whole,targeting function,binds to the epidermal growth factor receptor (EGFr) on both normal and tumor cells,NaN,"To develop a pH-sensitive dual targeting magnetic nanocarrier for chemo-phototherapy in cancer treatment, we prepared magnetic graphene oxide (MGO) by depositing Fe&amp;#8323;O&amp;#8324; magnetic nanoparticles on graphene oxide (GO) through chemical co-precipitation. MGO was modified with polyethylene glycol (PEG) and cetuximab (CET, an epidermal growth factor receptor (EGFR) monoclonal antibody) to obtain MGO-PEG-CET. Since EGFR was highly expressed on the tumor cell surface, MGO-PEG-CET was used for dual targeted delivery an anticancer drug doxorubicin (DOX). The physico-chemical properties of MGO-PEG-CET were fully characterized by dynamic light scattering, transmission electron microscopy, X-ray diffraction, Fourier transform Infrared spectroscopy, thermogravimetric analysis, and superconducting quantum interference device. Drug loading experiments revealed that DOX adsorption followed the Langmuir isotherm with a maximal drug loading capacity of 6.35 mg/mg, while DOX release was pH-dependent with more DOX released at pH 5.5 than pH 7.4. Using quantum-dots labeled nanocarriers and confocal microscopy, intracellular uptakes of MGO-PEG-CET by high EGFR-expressing CT-26 murine colorectal cells was confirmed to be more efficient than MGO. This cellular uptake could be inhibited by pre-incubation with CET, which confirmed the receptor-mediated endocytosis of MGO-PEG-CET. Magnetic targeted killing of CT-26 was demonstrated in vitro through magnetic guidance of MGO-PEG-CET/DOX, while the photothermal effect could be confirmed in vivo and in vitro after exposure of MGO-PEG-CET to near-infrared (NIR) laser light. In addition, the biocompatibility tests indicated MGO-PEG-CET showed no cytotoxicity toward fibroblasts and elicited minimum hemolysis. In vitro cytotoxicity tests showed the half maximal inhibitory concentration (IC50) value of MGO-PEG-CET/DOX toward CT-26 cells was 1.48 &amp;#181;g/mL, which was lower than that of MGO-PEG/DOX (2.64 &amp;#181;g/mL). The IC50 value could be further reduced to 1.17 &amp;#181;g/mL after combining with photothermal therapy by NIR laser light exposure. Using subcutaneously implanted CT-26 cells in BALB/c mice, in vivo anti-tumor studies indicated the relative tumor volumes at day 14 were 12.1 for control (normal saline), 10.1 for DOX, 9.5 for MGO-PEG-CET/DOX, 5.8 for MGO-PEG-CET/DOX + magnet, and 0.42 for MGO-PEG-CET/DOX + magnet + laser. Therefore, the dual targeting MGO-PEG-CET/DOX could be suggested as an effective drug delivery system for anticancer therapy, which showed a 29-fold increase in therapeutic efficacy compared with control by combining chemotherapy with photothermal therapy.",https://www.ncbi.nlm.nih.gov/pubmed/29584656
